日期(年/月),單位,天然氣供給_合計,天然氣供給_自產量,天然氣供給_進口量,天然氣轉變投入_合計,天然氣轉變投入_煉油廠,天然氣轉變投入_發電及汽電,天然氣消費_合計,天然氣消費_能源部門自用,天然氣消費_工業部門,天然氣消費_運輸部門,天然氣消費_農業部門,天然氣消費_服務業部門,天然氣消費_住宅部門,天然氣消費_非能源消費,自產天然氣可供市場銷售之NG1_小計,自產天然氣可供市場銷售之NG1_自產量,自產天然氣可供市場銷售之NG1_由LNG來之調整量,自產天然氣轉變投入_發電及汽電,自產天然氣NG1消費_合計,自產天然氣NG1消費_能源部門自用,自產天然氣NG1消費_工業部門,自產天然氣NG1消費_運輸部門,自產天然氣NG1消費_農業部門,自產天然氣NG1消費_服務業部門,自產天然氣NG1消費_住宅部門,自產天然氣NG1消費_非能源消費,(進口)液化天然氣進口量,(進口)液化天然氣可供市場銷售之NG2可供市場銷售之NG2,(進口)液化天然氣轉變投入_小計,(進口)液化天然氣轉變投入_煉油廠,(進口)液化天然氣轉變投入_發電及汽電,(進口)液化天然氣NG2消費_小計,(進口)液化天然氣NG2消費_能源部門自用,(進口)液化天然氣NG2消費_工業部門,(進口)液化天然氣NG2消費_運輸部門,(進口)液化天然氣NG2消費_農業部門,(進口)液化天然氣NG2消費_服務業部門,(進口)液化天然氣NG2消費_住宅部門,(進口)液化天然氣NG2消費_非能源消費
200411,千立方公尺,764937.9429089262,56080,708857.9429089262,598645.97963185,4551,594094.97963185,213466.71836815,37142.77888259,79749.06648556,0,0,26449.781,70125.092,0,121088.125,56080,65008.125,9904.87529569,110295.46170431,838,30312.20670431,0,0,17761.309,61383.946,0,708857.9429089262,738855,588741.10433616,4551,584190.10433616,103171.25666384,36304.77888259,49436.85978125,0,0,8688.472,8741.146,0
200412,千立方公尺,1075946.9084730403,56941,1019005.9084730403,571052.91015898,5022,566030.91015898,229973.08784102,45031.38436087,82144.09748015,0,0,28807.629,73989.977,0,132152.875,56941,75211.875,6383.9672483,120586.2987517,359.447,32663.7537517,0,0,20991.22,66571.878,0,1019005.9084730403,732923,564668.94291068,5022,559646.94291068,109386.78908932,44671.93736087,49480.34372845,0,0,7816.409,7418.099,0
200501,千立方公尺,465009.242410512,67514,397495.242410512,445518.20375384,0,445518.20375384,236019.31024616,27422.20645632,86190.12478984,0,0,33911.89,88495.089,0,158774,67514,91260,3244.40087204,136088.51112796,818,33654.48712796,0,0,23541.461,78074.563,0,397495.242410512,600188,442273.8028818,0,442273.8028818,99930.7991182,26604.20645632,52535.63766188,0,0,10370.429,10420.526,0
200502,千立方公尺,526006.21295876754,49616,476390.21295876754,325345.00759035,0,325345.00759035,211079.89740965,25017.00516502,65717.04724463,0,0,29366.468,90979.377,0,131460.875,49616,81844.875,74.14255882,122846.48244118,230.509,21667.40244118,0,0,21112.352,79836.219,0,476390.21295876754,469706,325270.86503153,0,325270.86503153,88233.41496847,24786.49616502,44049.64480345,0,0,8254.116,11143.158,0
200503,千立方公尺,692397.378794744,58225,634172.378794744,476829.96561918,0,476829.96561918,247027.40838082,27327.12763953,85816.66474129,0,0,34304.959,99578.657,0,159112.75,58225,100887.75,243.21790483,145478.92309517,352.106,34120.83009517,0,0,22210.108,88795.879,0,634172.378794744,647346,476586.74771435,0,476586.74771435,101548.48528565,26975.02163953,51695.83464612,0,0,12094.851,10782.778,0
200504,千立方公尺,842033.7553239692,49014,793019.7553239692,601313.01153445,0,601313.01153445,232747.03446555,28667.78188569,78371.90857986,0,0,32752.943,92954.401,0,128167.875,49014,79153.875,279.17572155,134551.64627845,299.73,31512.30927845,0,0,20943.042,81796.565,0,793019.7553239692,752171,601033.8358129,0,601033.8358129,98195.3881871,28368.05188569,46859.59930141,0,0,11809.901,11157.836,0
200505,千立方公尺,909059.2637063888,38885,870174.2637063888,727398.48805272,115,727283.48805272,214225.69794728,28589.21653859,78971.80640869,0,0,28831.673,77833.002,0,115707.875,38885,76822.875,295.5993303,121034.7376697,212,31271.1936697,0,0,19512.727,70038.817,0,870174.2637063888,875111,727102.88872242,115,726987.88872242,93190.96027758,28377.21653859,47700.61273899,0,0,9318.946,7794.185,0
200506,千立方公尺,908853.197100136,42618,866235.197100136,663157.75192253,5577,657580.75192253,207844.22907747,31938.90265017,74871.0954273,0,0,29303.896,71730.335,0,105178.125,42618,62560.125,126.1525125,110553.6824875,217.18,30265.0924875,0,0,18090.464,61980.946,0,866235.197100136,805306,663031.59941003,5577,657454.59941003,97290.54658997,31721.72265017,44606.0029398,0,0,11213.432,9749.389,0
200507,千立方公尺,964649.00362483,38073,926576.00362483,824278.15492194,1740,822538.15492194,202302.63907806,31265.02747694,80863.68760112,0,0,25259.799,64914.125,0,106617,38073,68544,223.47143151,102059.79556849,269.302,29759.34956849,0,0,17278.221,54752.923,0,926576.00362483,974515,824054.68349043,1740,822314.68349043,100242.84350957,30995.72547694,51104.33803263,0,0,7981.578,10161.202,0
200508,千立方公尺,1135464.5333031265,37895,1097569.5333031265,794835.04603903,0,794835.04603903,199660.46996097,32969.7647887,81262.19317227,0,0,23756.267,61672.245,0,99287.375,37895,61392.375,270.59826446,99579.48473554,205.489,31070.06373554,0,0,15886.731,52417.201,0,1097569.5333031265,943551,794564.44777457,0,794564.44777457,100080.98522543,32764.2757887,50192.12943673,0,0,7869.536,9255.044,0
200509,千立方公尺,896333.5944721341,38269,858064.5944721341,833802.75087601,0,833802.75087601,202431.97212399,41119.22998252,78152.76814147,0,0,24933.06,58226.914,0,99277.75,38269,61008.75,273.48929823,96388.00170177,262.645,29586.94770177,0,0,16626.668,49911.741,0,858064.5944721341,998580,833529.26157778,0,833529.26157778,106043.97042222,40856.58498252,48565.8204397,0,0,8306.392,8315.173,0
200510,千立方公尺,984152.1717263253,38269,945883.1717263253,746849.39521423,625,746224.39521423,236559.73378577,40359.99902554,79222.85876023,0,0,35904.346,81072.53,0,110747.125,38269,72478.125,203.65263189,125997.79336811,221.332,30798.50036811,0,0,23742.198,71235.763,0,945883.1717263253,928197,746645.74258234,625,746020.74258234,110561.94041766,40138.66702554,48424.35839212,0,0,12162.148,9836.767,0
200511,千立方公尺,910182.3402809243,39215,870967.3402809243,641600.98473554,1233,640367.98473554,209410.22226446,33987.63383269,78168.87143177,0,0,30355.809,66897.908,0,119092.25,39215,79877.25,218.70067981,106978.55932019,257.905,30351.72932019,0,0,18382.339,57986.586,0,870967.3402809243,813392,641382.28405573,1233,640149.28405573,102431.66294427,33729.72883269,47817.14211158,0,0,11973.47,8911.322,0
200512,千立方公尺,686319.7548708654,49877,636442.7548708654,455120.38397968,0,455120.38397968,239775.65102032,38736.33441964,84172.90760068,0,0,33279.019,83587.39,0,156821.75,49877,106944.75,222.27038035,126304.21861965,329.463,32543.34561965,0,0,20494.819,72936.591,0,636442.7548708654,685148,454898.11359933,0,454898.11359933,113471.43240067,38406.87141964,51629.56198103,0,0,12784.2,10650.799,0
200601,千立方公尺,519816.9850475759,46498,473318.9850475759,362624.72220487,0,362624.72220487,233740.37179513,30112.09143824,78979.61135689,0,0,35090.311,89558.358,0,143300.875,46498,96802.875,179.79277336,128306.89022664,244.852,28781.93122664,0,0,21475.765,77804.342,0,473318.9850475759,541554,362444.92943151,0,362444.92943151,105433.48156849,29867.23943824,50197.68013025,0,0,13614.546,11754.016,0
200602,千立方公尺,521972.20661531494,43820,478152.20661531494,325415.99922999,4575,320840.99922999,222747.04577001,25385.19470026,69994.16506975,0,0,35269.189,92098.497,0,128975.75,43820,85155.75,208.73864349,127781.00735651,259.612,24006.35635651,0,0,22556.071,80958.968,0,478152.20661531494,480167,325207.2605865,4575,320632.2605865,94966.0384135,25125.58270026,45987.80871324,0,0,12713.118,11139.529,0
200603,千立方公尺,820641.2365201631,48327,772314.2365201631,555520.83679121,755,554765.83679121,246766.73120879,31539.15632171,85772.18288708,0,0,34340.32,95115.072,0,147858,48327,99531,235.72380742,135409.94719258,296.384,30981.66919258,0,0,21389.124,82742.77,0,772314.2365201631,738541,555285.11298379,755,554530.11298379,111356.78401621,31242.77232171,54790.5136945,0,0,12951.196,12372.302,0
200604,千立方公尺,861705.3652016312,40843,820862.3652016312,616964.44215769,0,616964.44215769,229644.06484231,27563.60719243,79710.35064988,0,0,33184.437,89185.67,0,123847.75,40843,83004.75,237.37888562,126708.59911438,239.902,28539.17211438,0,0,20121.681,77807.844,0,820862.3652016312,786131,616727.06327207,0,616727.06327207,102935.46572793,27323.70519243,51171.1785355,0,0,13062.756,11377.826,0
200605,千立方公尺,1073109.4299954689,36416,1036693.4299954689,717425.37684566,0,717425.37684566,217867.69115434,24842.14978039,82882.07337395,0,0,30873.9,79269.568,0,116996.375,36416,80580.375,230.58310856,117305.93589144,292.296,28991.09189144,0,0,19009.694,69012.854,0,1036693.4299954689,888628,717194.7937371,0,717194.7937371,100561.7552629,24549.85378039,53890.98148251,0,0,11864.206,10256.714,0
200606,千立方公尺,901617.3937471681,34564,867053.3937471681,755117.02147093,5438,749679.02147093,219728.02452907,35102.52764357,81678.1218855,0,0,31141.218,71806.157,0,106319.875,34564,71755.875,158.098,108155.549,199.166,28498.857,0,0,17963.609,61493.917,0,867053.3937471681,916845,754958.92347093,5438,749520.92347093,111572.47552907,34903.36164357,53179.2648855,0,0,13177.609,10312.24,0
